iter	Passed	Remaining
536	4146	3575
537	4153	3566
538	4158	3557
539	4165	3548
540	4171	3538
541	4177	3529
542	4183	3520
543	4189	3512
544	4196	3503
545	4202	3494
546	4208	3485
547	4214	3475
548	4219	3466
549	4226	3457
550	4232	3448
551	4238	3439
552	4244	3431
553	4250	3422
554	4257	3413
555	4264	3405
556	4270	3396
557	4276	3387
558	4282	3378
559	4290	3370
560	4296	3361
561	4302	3353
562	4308	3344
563	4314	3335
564	4320	3326
565	4327	3318
566	4333	3309
567	4339	3300
568	4345	3291
569	4351	3283
570	4358	3274
571	4364	3265
572	4370	3257
573	4377	3248
574	4383	3240
575	4390	3231
576	4396	3223
577	4402	3214
578	4408	3205
579	4415	3197
580	4421	3188
581	4427	3179
582	4433	3171
583	4439	3162
584	4445	3153
585	4451	3144
586	4457	3136
587	4464	3127
588	4469	3119
589	4476	3110
590	4482	3102
591	4488	3093
592	4494	3085
593	4500	3076
594	4506	3067
595	4513	3059
596	4519	3050
597	4525	3042
598	4532	3034
599	4538	3025
600	4545	3017
601	4551	3009
602	4557	3000
603	4563	2991
604	4569	2983
605	4575	2974
606	4581	2966
607	4588	2958
608	4595	2950
609	4602	2942
610	4607	2933
611	4614	2925
612	4620	2916
613	4626	2908
614	4632	2900
615	4639	2892
616	4645	2883
617	4651	2875
618	4657	2866
619	4663	2858
620	4669	2849
621	4675	2841
622	4681	2832
623	4688	2825
624	4695	2817
625	4701	2809
626	4707	2800
627	4713	2792
628	4720	2784
629	4726	2775
630	4732	2767
631	4738	2759
632	4744	2751
633	4751	2742
634	4757	2734
635	4763	2726
636	4769	2717
637	4775	2709
638	4781	2701
639	4787	2693
640	4794	2685
641	4800	2676
642	4806	2668
643	4812	2660
644	4818	2652
645	4825	2644
646	4830	2635
647	4836	2627
648	4842	2619
649	4848	2610
650	4855	2602
651	4861	2594
652	4867	2586
653	4873	2578
654	4879	2570
655	4885	2561
656	4891	2553
657	4897	2545
658	4904	2537
659	4910	2529
660	4916	2521
661	4922	2513
662	4928	2505
663	4934	2497
664	4942	2489
665	4953	2484
666	4963	2477
667	4971	2471
668	4980	2464
669	4989	2457
670	5003	2453
671	5015	2448
672	5024	2441
673	5032	2434
674	5041	2427
675	5050	2420
676	5060	2414
677	5071	2408
678	5082	2402
679	5092	2396
680	5102	2390
681	5113	2384
682	5125	2378
683	5135	2372
684	5143	2365
685	5152	2358
686	5160	2351
687	5173	2346
688	5188	2342
689	5197	2335
690	5205	2327
691	5213	2320
692	5223	2314
693	5232	2307
694	5241	2300
695	5251	2293
696	5260	2286
697	5268	2279
698	5278	2272
699	5287	2266
700	5295	2258
701	5302	2251
